Packetnummer;Ware;fuellstand;veschickt um;angekommen um
1;milch;18;2017-06-08 21:36:09.412;2017-06-08 21:36:09.459
2;milch;16;2017-06-08 21:36:14.46;2017-06-08 21:36:14.463
3;milch;14;2017-06-08 21:36:19.465;2017-06-08 21:36:19.468
4;milch;12;2017-06-08 21:36:24.469;2017-06-08 21:36:24.472
5;milch;10;2017-06-08 21:36:29.474;2017-06-08 21:36:29.478
6;milch;8;2017-06-08 21:36:35.95;2017-06-08 21:36:35.953
7;milch;6;2017-06-08 21:36:41.961;2017-06-08 21:36:41.963
8;milch;4;2017-06-08 21:36:47.97;2017-06-08 21:36:47.973
9;milch;2;2017-06-08 21:36:53.98;2017-06-08 21:36:53.983
10;milch;0;2017-06-08 21:36:59.989;2017-06-08 21:36:59.991
11;milch;0;2017-06-08 21:37:06.0;2017-06-08 21:37:06.003
12;milch;0;2017-06-08 21:37:12.012;2017-06-08 21:37:12.015
13;milch;0;2017-06-08 21:37:18.024;2017-06-08 21:37:18.028
14;milch;0;2017-06-08 21:37:24.044;2017-06-08 21:37:24.047
15;milch;0;2017-06-08 21:37:30.062;2017-06-08 21:37:30.065
16;milch;0;2017-06-08 21:37:36.065;2017-06-08 21:37:36.066
17;milch;0;2017-06-08 21:37:42.073;2017-06-08 21:37:42.076
18;milch;0;2017-06-08 21:37:48.084;2017-06-08 21:37:48.087
19;milch;0;2017-06-08 21:37:54.105;2017-06-08 21:37:54.108
20;milch;0;2017-06-08 21:38:00.116;2017-06-08 21:38:00.119
21;milch;0;2017-06-08 21:38:06.133;2017-06-08 21:38:06.136
22;milch;0;2017-06-08 21:38:12.7;2017-06-08 21:38:12.703
23;milch;0;2017-06-08 21:38:18.717;2017-06-08 21:38:18.72
24;milch;0;2017-06-08 21:38:24.735;2017-06-08 21:38:24.738
25;milch;0;2017-06-08 21:38:30.754;2017-06-08 21:38:30.757
26;milch;0;2017-06-08 21:38:36.767;2017-06-08 21:38:36.77
27;milch;0;2017-06-08 21:38:42.777;2017-06-08 21:38:42.78
28;milch;88;2017-06-08 21:38:48.236;2017-06-08 21:38:48.239
Packetnummer;Ware;fuellstand;veschickt um;angekommen um
1;milch;12;2017-06-08 21:39:30.531;2017-06-08 21:39:30.581
2;milch;10;2017-06-08 21:39:35.582;2017-06-08 21:39:35.585
3;milch;98;2017-06-08 21:39:40.691;2017-06-08 21:39:40.694
4;milch;96;2017-06-08 21:39:45.695;2017-06-08 21:39:45.698
5;milch;94;2017-06-08 21:39:50.699;2017-06-08 21:39:50.702
6;milch;92;2017-06-08 21:39:55.704;2017-06-08 21:39:55.707
7;milch;90;2017-06-08 21:40:00.71;2017-06-08 21:40:00.713
8;milch;88;2017-06-08 21:40:05.715;2017-06-08 21:40:05.718
9;milch;86;2017-06-08 21:40:10.72;2017-06-08 21:40:10.723
10;milch;84;2017-06-08 21:40:15.724;2017-06-08 21:40:15.727
11;milch;82;2017-06-08 21:40:20.728;2017-06-08 21:40:20.73
12;milch;80;2017-06-08 21:40:25.73;2017-06-08 21:40:25.733
13;milch;78;2017-06-08 21:40:30.737;2017-06-08 21:40:30.74
14;milch;76;2017-06-08 21:40:35.742;2017-06-08 21:40:35.744
15;milch;74;2017-06-08 21:40:40.744;2017-06-08 21:40:40.747
16;milch;72;2017-06-08 21:40:45.748;2017-06-08 21:40:45.751
17;milch;70;2017-06-08 21:40:50.752;2017-06-08 21:40:50.755
18;milch;68;2017-06-08 21:40:55.757;2017-06-08 21:40:55.759
19;milch;66;2017-06-08 21:41:00.761;2017-06-08 21:41:00.763
20;milch;64;2017-06-08 21:41:05.766;2017-06-08 21:41:05.768
21;milch;62;2017-06-08 21:41:10.769;2017-06-08 21:41:10.772
22;milch;60;2017-06-08 21:41:15.775;2017-06-08 21:41:15.779
23;milch;58;2017-06-08 21:41:20.78;2017-06-08 21:41:20.783
24;milch;56;2017-06-08 21:41:25.784;2017-06-08 21:41:25.787
25;milch;54;2017-06-08 21:41:30.791;2017-06-08 21:41:30.793
26;milch;52;2017-06-08 21:41:35.795;2017-06-08 21:41:35.798
27;milch;50;2017-06-08 21:41:40.8;2017-06-08 21:41:40.803
28;milch;48;2017-06-08 21:41:45.804;2017-06-08 21:41:45.807
29;milch;46;2017-06-08 21:41:50.809;2017-06-08 21:41:50.812
30;milch;44;2017-06-08 21:41:55.814;2017-06-08 21:41:55.817
31;milch;42;2017-06-08 21:42:00.821;2017-06-08 21:42:00.823
32;milch;40;2017-06-08 21:42:05.824;2017-06-08 21:42:05.827
33;milch;38;2017-06-08 21:42:10.828;2017-06-08 21:42:10.831
34;milch;36;2017-06-08 21:42:15.833;2017-06-08 21:42:15.836
35;milch;34;2017-06-08 21:42:20.837;2017-06-08 21:42:20.84
36;milch;32;2017-06-08 21:42:25.841;2017-06-08 21:42:25.844
37;milch;30;2017-06-08 21:42:30.848;2017-06-08 21:42:30.851
38;milch;28;2017-06-08 21:42:35.853;2017-06-08 21:42:35.856
39;milch;26;2017-06-08 21:42:40.859;2017-06-08 21:42:40.866
40;milch;24;2017-06-08 21:42:45.867;2017-06-08 21:42:45.87
41;milch;22;2017-06-08 21:42:50.871;2017-06-08 21:42:50.874
42;milch;20;2017-06-08 21:42:55.876;2017-06-08 21:42:55.879
43;milch;18;2017-06-08 21:43:00.883;2017-06-08 21:43:00.886
44;milch;16;2017-06-08 21:43:05.888;2017-06-08 21:43:05.89
45;milch;14;2017-06-08 21:43:10.891;2017-06-08 21:43:10.894
46;milch;12;2017-06-08 21:43:15.895;2017-06-08 21:43:15.897
47;milch;10;2017-06-08 21:43:20.904;2017-06-08 21:43:20.906
48;milch;98;2017-06-08 21:43:25.933;2017-06-08 21:43:25.936
49;milch;96;2017-06-08 21:43:30.94;2017-06-08 21:43:30.942
50;milch;94;2017-06-08 21:43:35.945;2017-06-08 21:43:35.946
51;milch;92;2017-06-08 21:43:40.946;2017-06-08 21:43:40.949
52;milch;90;2017-06-08 21:43:45.95;2017-06-08 21:43:45.953
53;milch;88;2017-06-08 21:43:50.969;2017-06-08 21:43:50.972
54;milch;86;2017-06-08 21:43:55.974;2017-06-08 21:43:55.977
55;milch;84;2017-06-08 21:44:00.981;2017-06-08 21:44:00.983
56;milch;82;2017-06-08 21:44:05.985;2017-06-08 21:44:05.986
57;milch;80;2017-06-08 21:44:10.986;2017-06-08 21:44:10.989
58;milch;78;2017-06-08 21:44:15.991;2017-06-08 21:44:15.992
59;milch;76;2017-06-08 21:44:20.993;2017-06-08 21:44:20.996
60;milch;74;2017-06-08 21:44:25.997;2017-06-08 21:44:26.0
61;milch;72;2017-06-08 21:44:31.003;2017-06-08 21:44:31.005
62;milch;70;2017-06-08 21:44:36.007;2017-06-08 21:44:36.009
63;milch;68;2017-06-08 21:44:41.011;2017-06-08 21:44:41.014
64;milch;66;2017-06-08 21:44:46.017;2017-06-08 21:44:46.02
65;milch;64;2017-06-08 21:44:51.022;2017-06-08 21:44:51.025
66;milch;62;2017-06-08 21:44:56.026;2017-06-08 21:44:56.029
67;milch;60;2017-06-08 21:45:01.029;2017-06-08 21:45:01.03
68;milch;58;2017-06-08 21:45:06.032;2017-06-08 21:45:06.034
69;milch;56;2017-06-08 21:45:11.039;2017-06-08 21:45:11.042
70;milch;54;2017-06-08 21:45:16.043;2017-06-08 21:45:16.046
71;milch;52;2017-06-08 21:45:21.046;2017-06-08 21:45:21.049
72;milch;50;2017-06-08 21:45:26.052;2017-06-08 21:45:26.055
73;milch;48;2017-06-08 21:45:31.059;2017-06-08 21:45:31.061
74;milch;46;2017-06-08 21:45:36.062;2017-06-08 21:45:36.064
75;milch;44;2017-06-08 21:45:41.065;2017-06-08 21:45:41.068
76;milch;42;2017-06-08 21:45:46.069;2017-06-08 21:45:46.072
77;milch;40;2017-06-08 21:45:51.073;2017-06-08 21:45:51.076
78;milch;38;2017-06-08 21:45:56.076;2017-06-08 21:45:56.078
79;milch;36;2017-06-08 21:46:01.082;2017-06-08 21:46:01.084
80;milch;34;2017-06-08 21:46:06.084;2017-06-08 21:46:06.087
81;milch;32;2017-06-08 21:46:11.088;2017-06-08 21:46:11.091
82;milch;30;2017-06-08 21:46:16.093;2017-06-08 21:46:16.096
83;milch;28;2017-06-08 21:46:21.098;2017-06-08 21:46:21.103
84;milch;26;2017-06-08 21:46:26.104;2017-06-08 21:46:26.105
85;milch;24;2017-06-08 21:46:31.107;2017-06-08 21:46:31.109
86;milch;22;2017-06-08 21:46:36.111;2017-06-08 21:46:36.114
87;milch;20;2017-06-08 21:46:41.117;2017-06-08 21:46:41.119
Packetnummer;Ware;fuellstand;veschickt um;angekommen um
1;a;12;2017-06-08 21:50:55.237;2017-06-08 21:50:55.257
2;a;10;2017-06-08 21:51:00.257;2017-06-08 21:51:00.26
3;a;98;2017-06-08 21:51:05.443;2017-06-08 21:51:05.446
4;a;96;2017-06-08 21:51:10.449;2017-06-08 21:51:10.452
5;a;94;2017-06-08 21:51:15.454;2017-06-08 21:51:15.456
6;a;92;2017-06-08 21:51:20.459;2017-06-08 21:51:20.462
7;a;90;2017-06-08 21:51:25.465;2017-06-08 21:51:25.468
8;a;88;2017-06-08 21:51:30.47;2017-06-08 21:51:30.473
9;a;86;2017-06-08 21:51:35.474;2017-06-08 21:51:35.477
10;a;84;2017-06-08 21:51:40.478;2017-06-08 21:51:40.481
11;a;82;2017-06-08 21:51:45.483;2017-06-08 21:51:45.486
12;a;80;2017-06-08 21:51:50.487;2017-06-08 21:51:50.49
13;a;78;2017-06-08 21:51:55.494;2017-06-08 21:51:55.496
14;a;76;2017-06-08 21:52:00.498;2017-06-08 21:52:00.501
15;a;74;2017-06-08 21:52:05.503;2017-06-08 21:52:05.506
16;a;72;2017-06-08 21:52:10.507;2017-06-08 21:52:10.51
17;a;70;2017-06-08 21:52:15.512;2017-06-08 21:52:15.515
18;a;68;2017-06-08 21:52:20.516;2017-06-08 21:52:20.519
19;a;66;2017-06-08 21:52:25.522;2017-06-08 21:52:25.525
20;a;64;2017-06-08 21:52:30.527;2017-06-08 21:52:30.53
21;a;62;2017-06-08 21:52:35.533;2017-06-08 21:52:35.535
22;a;60;2017-06-08 21:52:40.535;2017-06-08 21:52:40.536
23;a;58;2017-06-08 21:52:45.537;2017-06-08 21:52:45.54
24;a;56;2017-06-08 21:52:50.542;2017-06-08 21:52:50.545
25;a;54;2017-06-08 21:52:55.548;2017-06-08 21:52:55.551
26;a;52;2017-06-08 21:53:00.552;2017-06-08 21:53:00.555
27;a;50;2017-06-08 21:53:05.556;2017-06-08 21:53:05.559
Packetnummer;Ware;fuellstand;veschickt um;angekommen um
1;milch;12;2017-06-11 19:42:38.24;2017-06-11 19:42:38.261
2;milch;10;2017-06-11 19:42:43.264;2017-06-11 19:42:43.267
3;milch;98;2017-06-11 19:42:49.307;2017-06-11 19:42:49.311
4;milch;96;2017-06-11 19:42:54.312;2017-06-11 19:42:54.316
5;milch;94;2017-06-11 19:42:59.319;2017-06-11 19:42:59.322
6;milch;92;2017-06-11 19:43:04.325;2017-06-11 19:43:04.328
7;milch;90;2017-06-11 19:43:09.333;2017-06-11 19:43:09.336
8;milch;88;2017-06-11 19:43:14.338;2017-06-11 19:43:14.34
9;milch;86;2017-06-11 19:43:19.342;2017-06-11 19:43:19.345
10;milch;84;2017-06-11 19:43:24.347;2017-06-11 19:43:24.35
11;milch;82;2017-06-11 19:43:29.351;2017-06-11 19:43:29.355
12;milch;80;2017-06-11 19:43:34.356;2017-06-11 19:43:34.359
13;milch;78;2017-06-11 19:43:39.364;2017-06-11 19:43:39.367
14;milch;76;2017-06-11 19:43:44.368;2017-06-11 19:43:44.371
15;milch;74;2017-06-11 19:43:49.374;2017-06-11 19:43:49.378
16;milch;72;2017-06-11 19:43:54.382;2017-06-11 19:43:54.385
17;milch;70;2017-06-11 19:43:59.387;2017-06-11 19:43:59.39
18;milch;68;2017-06-11 19:44:04.393;2017-06-11 19:44:04.397
19;milch;66;2017-06-11 19:44:09.4;2017-06-11 19:44:09.402
20;milch;64;2017-06-11 19:44:14.403;2017-06-11 19:44:14.407
21;milch;62;2017-06-11 19:44:19.409;2017-06-11 19:44:19.413
22;milch;60;2017-06-11 19:44:24.414;2017-06-11 19:44:24.417
23;milch;58;2017-06-11 19:44:29.419;2017-06-11 19:44:29.422
24;milch;56;2017-06-11 19:44:34.423;2017-06-11 19:44:34.426
25;milch;54;2017-06-11 19:44:39.43;2017-06-11 19:44:39.433
26;milch;52;2017-06-11 19:44:44.435;2017-06-11 19:44:44.438
27;milch;50;2017-06-11 19:44:49.44;2017-06-11 19:44:49.443
28;milch;48;2017-06-11 19:44:54.445;2017-06-11 19:44:54.448
29;milch;46;2017-06-11 19:44:59.451;2017-06-11 19:44:59.454
30;milch;44;2017-06-11 19:45:04.456;2017-06-11 19:45:04.459
31;milch;42;2017-06-11 19:45:09.462;2017-06-11 19:45:09.465
32;milch;40;2017-06-11 19:45:14.468;2017-06-11 19:45:14.471
33;milch;38;2017-06-11 19:45:19.473;2017-06-11 19:45:19.476
34;milch;36;2017-06-11 19:45:24.478;2017-06-11 19:45:24.481
35;milch;34;2017-06-11 19:45:29.482;2017-06-11 19:45:29.486
36;milch;32;2017-06-11 19:45:34.488;2017-06-11 19:45:34.491
37;milch;30;2017-06-11 19:45:39.495;2017-06-11 19:45:39.497
38;milch;28;2017-06-11 19:45:44.5;2017-06-11 19:45:44.504
39;milch;26;2017-06-11 19:45:49.506;2017-06-11 19:45:49.514
40;milch;24;2017-06-11 19:45:54.516;2017-06-11 19:45:54.518
41;milch;22;2017-06-11 19:45:59.521;2017-06-11 19:45:59.523
42;milch;20;2017-06-11 19:46:04.525;2017-06-11 19:46:04.528
43;milch;18;2017-06-11 19:46:09.532;2017-06-11 19:46:09.535
44;milch;16;2017-06-11 19:46:14.538;2017-06-11 19:46:14.541
45;milch;14;2017-06-11 19:46:19.543;2017-06-11 19:46:19.545
46;milch;12;2017-06-11 19:46:24.547;2017-06-11 19:46:24.55
47;milch;10;2017-06-11 19:46:29.56;2017-06-11 19:46:29.563
48;milch;98;2017-06-11 19:46:34.582;2017-06-11 19:46:34.586
49;milch;96;2017-06-11 19:46:39.589;2017-06-11 19:46:39.592
50;milch;94;2017-06-11 19:46:44.595;2017-06-11 19:46:44.598
51;milch;92;2017-06-11 19:46:49.6;2017-06-11 19:46:49.602
52;milch;90;2017-06-11 19:46:54.604;2017-06-11 19:46:54.607
53;milch;88;2017-06-11 19:46:59.609;2017-06-11 19:46:59.612
54;milch;86;2017-06-11 19:47:04.613;2017-06-11 19:47:04.617
55;milch;84;2017-06-11 19:47:09.621;2017-06-11 19:47:09.623
56;milch;82;2017-06-11 19:47:14.625;2017-06-11 19:47:14.629
57;milch;80;2017-06-11 19:47:19.631;2017-06-11 19:47:19.634
58;milch;78;2017-06-11 19:47:24.635;2017-06-11 19:47:24.64
59;milch;76;2017-06-11 19:47:29.642;2017-06-11 19:47:29.646
60;milch;74;2017-06-11 19:47:34.647;2017-06-11 19:47:34.651
61;milch;72;2017-06-11 19:47:39.656;2017-06-11 19:47:39.658
62;milch;70;2017-06-11 19:47:44.66;2017-06-11 19:47:44.662
63;milch;68;2017-06-11 19:47:49.664;2017-06-11 19:47:49.667
64;milch;66;2017-06-11 19:47:54.669;2017-06-11 19:47:54.67
65;milch;64;2017-06-11 19:47:59.671;2017-06-11 19:47:59.672
66;milch;62;2017-06-11 19:48:04.673;2017-06-11 19:48:04.676
67;milch;60;2017-06-11 19:48:09.68;2017-06-11 19:48:09.683
68;milch;58;2017-06-11 19:48:14.684;2017-06-11 19:48:14.687
69;milch;56;2017-06-11 19:48:19.688;2017-06-11 19:48:19.691
70;milch;54;2017-06-11 19:48:24.693;2017-06-11 19:48:24.696
71;milch;52;2017-06-11 19:48:29.699;2017-06-11 19:48:29.701
72;milch;50;2017-06-11 19:48:34.703;2017-06-11 19:48:34.708
73;milch;48;2017-06-11 19:48:39.711;2017-06-11 19:48:39.714
74;milch;46;2017-06-11 19:48:44.716;2017-06-11 19:48:44.719
75;milch;44;2017-06-11 19:48:49.72;2017-06-11 19:48:49.723
76;milch;42;2017-06-11 19:48:54.728;2017-06-11 19:48:54.73
77;milch;40;2017-06-11 19:48:59.731;2017-06-11 19:48:59.733
78;milch;38;2017-06-11 19:49:04.734;2017-06-11 19:49:04.737
79;milch;36;2017-06-11 19:49:09.741;2017-06-11 19:49:09.744
80;milch;34;2017-06-11 19:49:14.747;2017-06-11 19:49:14.75
81;milch;32;2017-06-11 19:49:19.751;2017-06-11 19:49:19.754
82;milch;30;2017-06-11 19:49:24.756;2017-06-11 19:49:24.759
83;milch;28;2017-06-11 19:49:29.76;2017-06-11 19:49:29.763
84;milch;26;2017-06-11 19:49:34.766;2017-06-11 19:49:34.768
85;milch;24;2017-06-11 19:49:39.827;2017-06-11 19:49:39.833
86;milch;22;2017-06-11 19:49:44.84;2017-06-11 19:49:44.845
87;milch;20;2017-06-11 19:49:49.848;2017-06-11 19:49:49.851
88;milch;18;2017-06-11 19:49:54.853;2017-06-11 19:49:54.856
89;milch;16;2017-06-11 19:49:59.859;2017-06-11 19:49:59.862
90;milch;14;2017-06-11 19:50:04.865;2017-06-11 19:50:04.867
91;milch;12;2017-06-11 19:50:09.871;2017-06-11 19:50:09.874
92;milch;10;2017-06-11 19:50:14.876;2017-06-11 19:50:14.879
93;milch;98;2017-06-11 19:50:19.904;2017-06-11 19:50:19.906
94;milch;96;2017-06-11 19:50:24.907;2017-06-11 19:50:24.908
95;milch;94;2017-06-11 19:50:29.91;2017-06-11 19:50:29.913
96;milch;92;2017-06-11 19:50:34.914;2017-06-11 19:50:34.917
97;milch;90;2017-06-11 19:50:39.92;2017-06-11 19:50:39.922
98;milch;88;2017-06-11 19:50:44.925;2017-06-11 19:50:44.928
99;milch;86;2017-06-11 19:50:49.93;2017-06-11 19:50:49.932
100;milch;84;2017-06-11 19:50:54.933;2017-06-11 19:50:54.936
101;milch;82;2017-06-11 19:50:59.938;2017-06-11 19:50:59.941
102;milch;80;2017-06-11 19:51:04.943;2017-06-11 19:51:04.945
103;milch;78;2017-06-11 19:51:09.95;2017-06-11 19:51:09.952
104;milch;76;2017-06-11 19:51:14.954;2017-06-11 19:51:14.956
105;milch;74;2017-06-11 19:51:19.958;2017-06-11 19:51:19.961
106;milch;72;2017-06-11 19:51:24.962;2017-06-11 19:51:24.964
107;milch;70;2017-06-11 19:51:29.964;2017-06-11 19:51:29.967
108;milch;68;2017-06-11 19:51:34.969;2017-06-11 19:51:34.972
109;milch;66;2017-06-11 19:51:39.975;2017-06-11 19:51:39.977
110;milch;64;2017-06-11 19:51:44.979;2017-06-11 19:51:44.982
111;milch;62;2017-06-11 19:51:49.984;2017-06-11 19:51:49.986
112;milch;60;2017-06-11 19:51:54.988;2017-06-11 19:51:54.991
113;milch;58;2017-06-11 19:51:59.993;2017-06-11 19:51:59.996
114;milch;56;2017-06-11 19:52:04.997;2017-06-11 19:52:05.0
115;milch;54;2017-06-11 19:52:10.004;2017-06-11 19:52:10.007
116;milch;52;2017-06-11 19:52:15.008;2017-06-11 19:52:15.011
117;milch;50;2017-06-11 19:52:20.012;2017-06-11 19:52:20.015
118;milch;48;2017-06-11 19:52:25.017;2017-06-11 19:52:25.019
119;milch;46;2017-06-11 19:52:30.021;2017-06-11 19:52:30.024
120;milch;44;2017-06-11 19:52:35.024;2017-06-11 19:52:35.027
121;milch;42;2017-06-11 19:52:40.03;2017-06-11 19:52:40.032
122;milch;40;2017-06-11 19:52:45.034;2017-06-11 19:52:45.038
123;milch;38;2017-06-11 19:52:50.04;2017-06-11 19:52:50.042
124;milch;36;2017-06-11 19:52:55.043;2017-06-11 19:52:55.046
125;milch;34;2017-06-11 19:53:00.048;2017-06-11 19:53:00.05
126;milch;32;2017-06-11 19:53:05.051;2017-06-11 19:53:05.054
127;milch;30;2017-06-11 19:53:10.059;2017-06-11 19:53:10.061
128;milch;28;2017-06-11 19:53:15.063;2017-06-11 19:53:15.066
129;milch;26;2017-06-11 19:53:20.069;2017-06-11 19:53:20.074
130;milch;24;2017-06-11 19:53:25.075;2017-06-11 19:53:25.078
131;milch;22;2017-06-11 19:53:30.079;2017-06-11 19:53:30.082
132;milch;20;2017-06-11 19:53:35.082;2017-06-11 19:53:35.085
133;milch;18;2017-06-11 19:53:40.089;2017-06-11 19:53:40.091
134;milch;16;2017-06-11 19:53:45.091;2017-06-11 19:53:45.094
135;milch;14;2017-06-11 19:53:50.095;2017-06-11 19:53:50.099
136;milch;12;2017-06-11 19:53:55.101;2017-06-11 19:53:55.104
137;milch;10;2017-06-11 19:54:00.104;2017-06-11 19:54:00.106
138;milch;98;2017-06-11 19:54:05.124;2017-06-11 19:54:05.125
139;milch;96;2017-06-11 19:54:10.128;2017-06-11 19:54:10.131
140;milch;94;2017-06-11 19:54:15.131;2017-06-11 19:54:15.134
141;milch;92;2017-06-11 19:54:20.135;2017-06-11 19:54:20.138
142;milch;90;2017-06-11 19:54:25.141;2017-06-11 19:54:25.143
143;milch;88;2017-06-11 19:54:30.143;2017-06-11 19:54:30.146
144;milch;86;2017-06-11 19:54:35.149;2017-06-11 19:54:35.151
145;milch;84;2017-06-11 19:54:40.155;2017-06-11 19:54:40.157
146;milch;82;2017-06-11 19:54:45.158;2017-06-11 19:54:45.161
147;milch;80;2017-06-11 19:54:50.162;2017-06-11 19:54:50.163
148;milch;78;2017-06-11 19:54:55.164;2017-06-11 19:54:55.167
149;milch;76;2017-06-11 19:55:00.169;2017-06-11 19:55:00.172
150;milch;74;2017-06-11 19:55:05.173;2017-06-11 19:55:05.176
151;milch;72;2017-06-11 19:55:10.179;2017-06-11 19:55:10.181
152;milch;70;2017-06-11 19:55:15.183;2017-06-11 19:55:15.186
153;milch;68;2017-06-11 19:55:20.188;2017-06-11 19:55:20.191
154;milch;66;2017-06-11 19:55:25.193;2017-06-11 19:55:25.196
155;milch;64;2017-06-11 19:55:30.197;2017-06-11 19:55:30.199
156;milch;62;2017-06-11 19:55:35.201;2017-06-11 19:55:35.203
157;milch;60;2017-06-11 19:55:40.207;2017-06-11 19:55:40.21
158;milch;58;2017-06-11 19:55:45.211;2017-06-11 19:55:45.214
159;milch;56;2017-06-11 19:55:50.215;2017-06-11 19:55:50.217
160;milch;54;2017-06-11 19:55:55.219;2017-06-11 19:55:55.225
161;milch;52;2017-06-11 19:56:00.227;2017-06-11 19:56:00.23
162;milch;50;2017-06-11 19:56:05.231;2017-06-11 19:56:05.234
163;milch;48;2017-06-11 19:56:10.237;2017-06-11 19:56:10.24
164;milch;46;2017-06-11 19:56:15.241;2017-06-11 19:56:15.244
165;milch;44;2017-06-11 19:56:20.245;2017-06-11 19:56:20.247
166;milch;42;2017-06-11 19:56:25.248;2017-06-11 19:56:25.25
167;milch;40;2017-06-11 19:56:30.251;2017-06-11 19:56:30.254
168;milch;38;2017-06-11 19:56:35.254;2017-06-11 19:56:35.257
169;milch;36;2017-06-11 19:56:40.261;2017-06-11 19:56:40.263
170;milch;34;2017-06-11 19:56:45.264;2017-06-11 19:56:45.266
171;milch;32;2017-06-11 19:56:50.267;2017-06-11 19:56:50.27
172;milch;30;2017-06-11 19:56:55.272;2017-06-11 19:56:55.275
173;milch;28;2017-06-11 19:57:00.275;2017-06-11 19:57:00.278
174;milch;26;2017-06-11 19:57:05.28;2017-06-11 19:57:05.282
175;milch;24;2017-06-11 19:57:10.284;2017-06-11 19:57:10.286
176;milch;22;2017-06-11 19:57:15.286;2017-06-11 19:57:15.289
177;milch;20;2017-06-11 19:57:20.289;2017-06-11 19:57:20.292
178;milch;18;2017-06-11 19:57:25.294;2017-06-11 19:57:25.297
179;milch;16;2017-06-11 19:57:30.299;2017-06-11 19:57:30.301
180;milch;14;2017-06-11 19:57:35.302;2017-06-11 19:57:35.305
181;milch;12;2017-06-11 19:57:40.309;2017-06-11 19:57:40.311
